SP,RP,TI,TT,UT,LMS,CML,MLR,RP,TI,TT,UT,LMS,CML,MLR,mean,trans,pre_trans,s2s,pres2s,dae
0.005264613,0.006575165,1,0.9997524,0.99684626,1,1,1,0,1,0,0,0,0.43349755,0.48233545,0.363831932,0.010987287,0.006397498,0.986307604,0.999820084,0.128146033
0.005312025,0.006634379,1,0.9997524,0.99684626,1,1,1,0,1,0,0,0,0.42857146,0.48249167,0.363262719,0.010968719,0.006384792,0.986442477,0.999819278,0.128146021
0.005359436,0.006693592,1,0.9997524,0.99684626,1,1,1,0,1,0,0,0,0.42364532,0.48264527,0.362693183,0.010950256,0.006372146,0.98657695,0.999818471,0.128146059
0.005406847,0.006752806,1,0.9997524,0.99684626,1,1,1,0,1,0,0,0,0.41871923,0.48279607,0.362123314,0.010931764,0.006359364,0.986711046,0.999817779,0.128146069
0.005454258,0.006812019,1,0.9997524,0.99684626,1,1,1,0,1,0,0,0,0.4137931,0.48294437,0.361553139,0.010913287,0.006346643,0.986844617,0.999816972,0.128146084
0.005501669,0.006871233,1,0.9997524,0.99684626,1,1,1,0,1,0,0,0,0.408867,0.48309004,0.360982649,0.010894749,0.006334342,0.986977872,0.999816165,0.128146084
0.00554908,0.006930446,1,0.99975044,0.99684626,1,1,1,0,1,0,0,0,0.40394092,0.48323333,0.360411637,0.010876211,0.00632171,0.987110708,0.9998153,0.128145932
0.005596492,0.00698966,1,0.99975044,0.99684626,1,1,1,0,1,0,0,0,0.39901477,0.48337418,0.359840559,0.010857583,0.006309244,0.98724306,0.999814482,0.128145957
0.005643903,0.007048873,1,0.99975044,0.99684626,1,1,1,0,1,0,0,0,0.3940887,0.48351264,0.359269202,0.010839045,0.006296763,0.987374909,0.99981379,0.128145957
0.005691314,0.007108087,1,0.99975044,0.99684626,1,1,1,0,1,0,0,0,0.3891626,0.4836489,0.358697576,0.010820417,0.006284432,0.987506484,0.999812937,0.128145957
0.005738725,0.0071673,1,0.99975044,0.99684626,1,1,1,0,1,0,0,0,0.38423645,0.4837829,0.35812567,0.010801879,0.006272175,0.98763764,0.999812211,0.128145973
0.005786136,0.007226514,1,0.99975044,0.99684626,1,1,1,0,1,0,0,0,0.37931037,0.4839146,0.357553494,0.010783266,0.006260024,0.987768165,0.999811254,0.128145983
0.005833548,0.007285727,1,0.99975044,0.99684626,1,1,1,0,1,0,0,0,0.37438422,0.4840443,0.356981069,0.010764547,0.006247678,0.987898585,0.999810516,0.128145907
0.005880958,0.007344941,1,0.99975044,0.99684626,1,1,1,0,1,0,0,0,0.36945814,0.484172,0.35640841,0.0107461,0.006235602,0.988028481,0.999809594,0.12814579
0.00592837,0.007404154,1,0.99975044,0.99684626,1,1,1,0,1,0,0,0,0.36453205,0.4842975,0.355835485,0.010727381,0.00622345,0.988157851,0.999808902,0.128145678
0.005975781,0.007463368,1,0.99975044,0.99684626,1,1,1,0,1,0,0,0,0.3596059,0.48442113,0.355262326,0.010708768,0.006211329,0.988287064,0.999808096,0.128145577
0.006023192,0.007522581,1,0.99975044,0.99684626,1,1,1,0,1,0,0,0,0.35467982,0.4845428,0.354688939,0.010690049,0.006199388,0.988415689,0.999807173,0.128145475
0.006070603,0.007581795,1,0.99975044,0.99684626,1,1,1,0,1,0,0,0,0.34975368,0.4846626,0.354115318,0.01067133,0.006187597,0.988543935,0.999806297,0.128145356
0.006118015,0.007641008,1,0.99974847,0.99684626,1,1,1,0,1,0,0,0,0.3448276,0.48478055,0.353541243,0.010652657,0.006175625,0.988671804,0.999805559,0.128145094
0.006165425,0.007700222,1,0.99974847,0.99684626,1,1,1,0,1,0,0,0,0.3399015,0.48489666,0.352967182,0.010633983,0.006163804,0.988799169,0.999804637,0.128144993
0.006212837,0.007759435,1,0.99974847,0.99684626,1,1,1,0,1,0,0,0,0.33497536,0.48501104,0.352392907,0.010615264,0.006151998,0.988926407,0.99980383,0.128144866
0.006260248,0.007818649,1,0.99974847,0.99684626,1,1,1,0,1,0,0,0,0.33004928,0.4851237,0.351818431,0.010596515,0.006140297,0.9890531,0.999803023,0.128144775
0.006307659,0.007877862,1,0.99974847,0.99684626,1,1,1,0,1,0,0,0,0.3251232,0.48523468,0.351243752,0.010577842,0.006128581,0.989179372,0.999802332,0.128144653
0.00635507,0.007937076,1,0.99974847,0.99684626,1,1,1,0,1,0,0,0,0.32019705,0.48534405,0.35066887,0.010559017,0.006117044,0.989305382,0.999801352,0.128144544
0.006402481,0.007996289,1,0.99974847,0.99684626,1,1,1,0,1,0,0,0,0.31527096,0.48545176,0.350093794,0.010540223,0.006105373,0.989430762,0.999800533,0.128144434
0.006449892,0.008055503,1,0.99974847,0.99684626,1,1,1,0,1,0,0,0,0.31034482,0.4855579,0.349518523,0.010521338,0.006093972,0.989555932,0.999799565,0.128144325
0.006497304,0.008114716,1,0.99974847,0.99684626,1,1,1,0,1,0,0,0,0.30541873,0.48566258,0.348943082,0.010502559,0.006082391,0.989680787,0.999798643,0.128144216
0.006544715,0.00817393,1,0.99974847,0.99684626,1,1,1,0,1,0,0,0,0.30049264,0.48576564,0.348367445,0.010483629,0.00607099,0.989805117,0.999797836,0.128144097
0.006592126,0.008233143,1,0.9997465,0.99684626,1,1,1,0,1,0,0,0,0.2955665,0.48586726,0.347791389,0.01046497,0.006059768,0.989929027,0.999797029,0.128143825
0.006639537,0.008292357,1,0.9997465,0.99684626,1,1,1,0,1,0,0,0,0.2906404,0.48596752,0.347215413,0.010446025,0.006048457,0.99005279,0.999796222,0.128143708
0.006686948,0.00835157,1,0.9997465,0.99684626,1,1,1,0,1,0,0,0,0.28571427,0.48606634,0.346639258,0.010427125,0.006037101,0.990176007,0.99979538,0.128143587
0.006734359,0.008410784,1,0.9997465,0.99684626,1,1,1,0,1,0,0,0,0.28078818,0.48616368,0.34606293,0.01040818,0.00602591,0.990298824,0.999794412,0.128143495
0.00678177,0.008469997,1,0.9997465,0.99684626,1,1,1,0,1,0,0,0,0.2758621,0.48625982,0.345486458,0.010389385,0.006014839,0.99042138,0.999793455,0.128143368
0.006829182,0.00852921,1,0.9997465,0.99684626,1,1,1,0,1,0,0,0,0.27093595,0.48635453,0.344909804,0.01037044,0.006003933,0.990543494,0.999792763,0.128143267
0.006876593,0.008588424,1,0.9997465,0.99684626,1,1,1,0,1,0,0,0,0.26600987,0.48644793,0.344333001,0.010351449,0.005992712,0.990665136,0.999791726,0.128143153
